Episode,Metrics/Avg_EndToEnd_Delay_ms,Metrics/SLA_Success_Rate,Metrics/Load_Variance,Metrics/Total_Cost,Metrics/AI_Instance_Thrashing,Metrics/Truncated_Actions,Rewards/R_base,Rewards/Penalty_SLA,Rewards/Penalty_Smoothness,Rewards/Penalty_Intent,CMDP/Dynamic_Lambda_SLA,Total_Reward
1,792.9973,0.748046875,0.06329826,82.41562529862858,518.0,130.0,84.07211821902762,-0.025259634900018514,-25.899999999999995,-6.500000000000002,0.0011460058144280132,1.2244855
2,1486.6676,0.5078125,0.07179428,69.61093778617214,481.0,210.0,69.21700056223318,-0.190749517285242,-24.04999999999999,-10.499999999999998,0.0031506167550174676,-8.3401985
3,3289.3477,0.333984375,0.060372375,100.80156272242311,508.0,325.0,56.404760513625526,-0.5631539837367109,-25.399999999999988,-16.249999999999996,0.006671087714498594,-24.046173
4,2698.57,0.220703125,0.058649153,66.20390651776688,490.0,222.0,59.507980259669985,-1.1043794377554064,-24.499999999999982,-11.1,0.011311369268844879,-13.315627
5,1085.3568,0.54296875,0.050118536,87.05703155935043,356.0,79.0,78.10820430559288,-0.8607919368295378,-17.79999999999998,-3.950000000000001,0.01510274839055302,19.806852
6,1868.2628,0.451171875,0.07232934,59.200000279117376,554.0,200.0,68.58887451029943,-1.2464146431655845,-27.7,-10.000000000000002,0.018220285749042633,-14.536614
7,2659.2073,0.20703125,0.061460547,109.41562528372742,547.0,106.0,50.6173538801289,-2.2219964947346322,-27.349999999999984,-5.300000000000002,0.022207069055789036,-13.828375
8,1317.3503,0.630859375,0.054222677,72.84296904370422,520.0,78.0,80.53132047562997,-1.1881327395240537,-25.999999999999986,-3.9000000000000004,0.025991068423184632,3.039976
9,1948.745,0.4609375,0.06996151,58.91484399820911,561.0,206.0,73.86938600888661,-1.920313504932234,-28.04999999999999,-10.3,0.028587423585177827,-14.054365
10,2076.2397,0.412109375,0.06479277,72.38828154170187,508.0,162.0,66.5790936948771,-2.3443697554593963,-25.400000000000006,-8.100000000000001,0.031843338449939286,-8.037992
11,1625.2262,0.501953125,0.048760295,80.4351565312245,447.0,210.0,68.37417421905656,-2.1798773500925464,-22.349999999999977,-10.500000000000004,0.03492551134644395,-5.3554525
12,2666.2783,0.42578125,0.053145055,107.43906276614871,598.0,285.0,53.176954280891756,-2.74537852614746,-29.899999999999995,-14.249999999999998,0.038063965750708535,-29.329483
13,1059.9331,0.638671875,0.03629067,58.258593964681495,369.0,469.0,86.85459012650317,-1.8398064504433702,-18.449999999999996,-23.449999999999996,0.04081759054053298,-12.992871
14,2731.7776,0.42578125,0.060044695,60.18828155734809,643.0,229.0,66.13237094949481,-3.134231682164502,-32.15,-11.449999999999998,0.04352002041689214,-25.351309
15,2082.9521,0.498046875,0.03549241,85.75546903553186,300.0,173.0,74.11890187310148,-2.9404253241721743,-15.000000000000007,-8.650000000000004,0.04673319219990515,12.5945215
16,704.2511,0.802734375,0.070464455,60.4687503130408,589.0,179.0,90.92951140136196,-1.1875258920860507,-29.450000000000006,-8.950000000000003,0.04839980724745947,-7.962494
17,983.2359,0.61328125,0.06488527,70.05546907003736,561.0,36.0,82.15089240522028,-2.420773110812561,-28.049999999999994,-1.8000000000000003,0.04973617713100705,3.5102317
18,1696.1014,0.470703125,0.073090665,73.69062527315691,631.0,288.0,65.80167110354478,-3.4798383401283695,-31.55,-14.399999999999995,0.05240214242775811,-28.783096
19,2779.9277,0.24609375,0.06602373,90.37734406831441,601.0,166.0,50.62195314120971,-5.336072042533436,-30.049999999999994,-8.300000000000002,0.05605067059458844,-23.27606
20,5840.889,0.083984375,0.051986944,64.90468773653265,420.0,373.0,50.72475478449591,-7.069585339168855,-20.999999999999982,-18.649999999999995,0.06087939143278035,-24.540464
21,1911.2504,0.4296875,0.054235127,110.5382815306657,438.0,203.0,61.05154660773752,-4.679689559986815,-21.89999999999998,-10.150000000000002,0.06532904067464969,-9.131146
22,1567.1544,0.4140625,0.06853925,58.20234400982736,542.0,323.0,73.76168665670704,-5.056924059848642,-27.099999999999977,-16.15,0.06843415582885469,-23.068806
23,665.0159,0.828125,0.06052566,65.13671903387876,599.0,171.0,90.20312195013688,-1.5068998498014488,-29.949999999999996,-8.550000000000002,0.07041674057618962,-9.57012
24,4193.488,0.236328125,0.06235626,100.36640650889603,601.0,247.0,45.91210328654397,-7.025989990765905,-30.049999999999994,-12.35,0.07283883310844187,-30.182878
25,5670.8735,0.22265625,0.06334312,54.300781521887984,533.0,305.0,50.076456471763926,-7.584446297009592,-26.64999999999999,-15.249999999999995,0.07723914069743985,-28.034006
