Episode,Metrics/Avg_EndToEnd_Delay_ms,Metrics/SLA_Success_Rate,Metrics/Load_Variance,Metrics/Total_Cost,Metrics/AI_Instance_Thrashing,Metrics/Truncated_Actions,Rewards/R_base,Rewards/Penalty_SLA,Rewards/Penalty_Smoothness,Rewards/Penalty_Intent,CMDP/Dynamic_Lambda_SLA,Total_Reward,Loss/Actor,Loss/Critic,Loss/Entropy,Loss/Approx_KL
1,1581.19,0.63671875,0.057408072,105.3851564830984,611.0,487.0,73.07076144037167,-0.0522201219593903,-30.54999999999998,-24.349999999999987,0.0011012004574039033,-37.904194,0.0,0.0,0.0,0.0
2,1690.1194,0.3046875,0.04672932,80.85000027762726,392.0,165.0,68.03201136986328,-0.3909908802766972,-19.6,-8.250000000000002,0.004585985658797675,3.2104058,0.0,0.0,0.0,0.0
3,1313.7845,0.646484375,0.056382477,81.36406279739458,489.0,137.0,80.12520119635866,-0.34157343049554,-24.44999999999999,-6.850000000000003,0.0078763517908633,1.3807812,0.0,0.0,0.0,0.0
4,744.00903,0.73828125,0.06576327,72.63906277378555,461.0,192.0,83.46675662699562,-0.30924276731251704,-23.04999999999999,-9.600000000000001,0.009684345020811988,0.49441355,0.0,0.0,0.0,0.0
5,1178.9901,0.6640625,0.062010564,64.25546901655616,564.0,258.0,81.58832192549087,-0.4757290391744981,-28.199999999999992,-12.899999999999999,0.011445683920997395,-15.640492,0.0,0.0,0.0,0.0
6,691.5249,0.763671875,0.06392815,76.33281279320363,469.0,174.0,86.75440411704709,-0.38432890803810127,-23.449999999999985,-8.700000000000003,0.01329950797901467,3.6442823,0.0,0.0,0.0,0.0
7,422.80957,0.79296875,0.055339012,75.15546903194627,429.0,248.0,92.88256286815137,-0.3724926825235214,-21.449999999999985,-12.400000000000002,0.014245243385388292,2.683294,0.0,0.0,0.0,0.0
8,2708.9998,0.20703125,0.06465165,94.12343775236513,546.0,221.0,52.7782290789463,-1.7370067311250559,-27.29999999999999,-11.049999999999999,0.01739159051534152,-20.653898,0.0,0.0,0.0,0.0
9,1498.4553,0.416015625,0.05492357,88.69062526035123,428.0,322.0,68.87618628139285,-1.5852510949966307,-21.39999999999998,-16.1,0.021403732764157624,-13.150914,-0.09370895415195264,2.315506421774626,-66.38034496307372,0.02988475002348423
10,5323.084,0.087890625,0.057476662,56.66015651245834,521.0,256.0,47.961857077761046,-3.0166128940620816,-26.049999999999986,-12.8,0.026207711370259207,-23.982325,-0.09370895415195264,2.315506421774626,-66.38034496307372,0.02988475002348423
11,1524.7576,0.6640625,0.050168775,80.1835939802113,506.0,282.0,80.73795145347896,-1.265434501185641,-25.299999999999986,-14.099999999999998,0.02995457648373464,-12.335351,-0.09370895415195264,2.315506421774626,-66.38034496307372,0.02988475002348423
12,2473.4927,0.42578125,0.06717404,59.67031277937349,646.0,141.0,62.97054077408324,-2.3485957509582276,-32.29999999999999,-7.050000000000003,0.03262549224948448,-19.780313,-0.09370895415195264,2.315506421774626,-66.38034496307372,0.02988475002348423
13,6159.9463,0.064453125,0.066863395,102.64609399059555,563.0,253.0,40.65057006502217,-4.391107562243431,-28.149999999999984,-12.65,0.03712514357705233,-29.094934,-0.09370895415195264,2.315506421774626,-66.38034496307372,0.02988475002348423
14,747.1118,0.751953125,0.061352134,81.36250029527582,477.0,128.0,85.43085648353804,-1.247500504273342,-23.849999999999973,-6.400000000000001,0.04070681322568103,5.316221,-0.09370895415195264,2.315506421774626,-66.38034496307372,0.02988475002348423
15,5641.9985,0.0703125,0.060559347,80.68906272633467,480.0,375.0,44.701383475404675,-5.175795758671365,-23.999999999999996,-18.75,0.04388656796565798,-30.163057,-0.09370895415195264,2.315506421774626,-66.38034496307372,0.02988475002348423
16,2143.7795,0.2890625,0.04894606,95.18203151848866,492.0,180.0,58.909816449827886,-4.38370158461971,-24.59999999999999,-9.0,0.04885250262395548,-12.050937,-0.09370895415195264,2.315506421774626,-66.38034496307372,0.02988475002348423
